,FRO_Precentral,FRO_Premotor,FRO_Prefrontal,PAR,TEM_Superior,TEM_Inferior,TEM_Medial,TEM_Hippocampus,TEM_Amygdala,OCC_Lateral,OCC_Medial,INS_Anterior,INS_Posterior,OLF_Anterior,OLF_Piriform,OLF_Claustrum,CIN_Anterior,CIN_Posterior,BG_CaudoPutamen,BG_NucleusAccumbens,BG_Pallidum,BG_Substantia_Nigra,THL_Thalamus,THL_Hypothalamus,THL_Subthalamus,CBL,BST
FRO_Precentral,7.027082565413156,0.9096760892617007,0.017017668545998586,1.9475125664246495,0.009486154494528904,0.0,1.9301099858826242e-05,0.0038728225553478785,0.042987142969433415,0.0004101876980861361,0.0032040532051079403,0.377409467674277,0.015260795769166217,4.7995863702511994e-05,1.3602679900506114e-05,0.07998634343573431,0.055803663667559886,0.010149986737807806,2.147388988340944,0.0040502299262250565,0.055675688706011556,0.05116567457111442,1.2751494277559297,0.009603514427398274,0.073273865813757,8.628721624086049e-06,0.23061755981571735
FRO_Premotor,1.3352379402276526,17.846054318702954,0.6683483329529941,0.16222378215511657,0.00029471179836909833,0.0,0.0012912041905557634,0.015078276468647176,0.16809431670632127,0.022848412655106,0.021608264013446864,0.08656058463846385,0.009760307199484938,0.004569911044471816,0.0011553012198616663,0.0013670664144458562,1.9530071533799092,0.04146076040311377,1.8379349971593655,0.003965456386891064,0.032676416560658894,0.027119468374504314,1.751115480186611,0.011089570182471803,0.1078560319049508,2.8800806488938747e-07,0.3202445704766296
FRO_Prefrontal,0.013292895604991875,1.0909767683546934,25.860064410902286,0.0006318921531852161,0.0,0.0003627674012114467,0.0006154089841979899,0.0005846881661855965,0.19944109130905432,0.0,0.002818098846828451,0.35184876677771737,0.0006139570466239532,0.53195314825902,0.02911599210645434,0.017655063644973504,1.1774188444095939,0.0007217556386491962,2.3295788069322696,0.4648476322302912,0.011335716220260675,0.008161894987224862,1.4684917500727845,0.05106028628934349,0.021836415056505416,0.0,0.11582435753143969
PAR,2.556813298689937,0.9554371044205715,0.05289720805387484,59.28975803797994,1.0690727135467846,0.014454778342773648,0.008410947697300592,0.3010024547841999,0.2490135138030426,0.3812578352884903,0.15381247764091316,0.11811966911943898,1.1971517299334211,0.015771879291388756,0.007175869612591163,0.03125492250817902,0.0206071409026248,0.058906443625563715,6.142656817762457,0.035015362239702114,0.212341869115923,0.14512756134944782,5.580496955591298,0.029673323442669323,0.2594805383307119,2.930445999842545e-05,1.310009623684807
TEM_Superior,0.0,4.086473409771575e-05,0.006365529913695075,0.711502651470056,13.79156678871679,0.2655038210614695,0.49513222815787195,0.054271679766232574,0.06301298219067544,0.7290223485704219,0.11986256100588821,0.002231233157395416,0.0076376011489446725,0.00031343050406700186,0.004002883078798159,0.00815774612861601,5.159989089438999e-05,0.0010736508023314539,0.5259937494505081,0.03361590883060922,0.0010304583241814995,0.0009029662359629851,1.4290952199374767,0.0,0.00036349473591919826,0.007509164559243415,0.17945871006022288
TEM_Inferior,0.0,4.274076890215848e-08,0.007935970839794105,9.363995568596644e-05,0.1808757980430757,0.8045964602816564,0.32104742339236997,0.10707961008750523,0.05683583676996158,7.39517891792896e-05,3.38462468383927e-05,0.0019059678281746594,0.006469495831999256,0.004459407893181398,0.0207300767216868,0.019588458288828426,0.00010239263699210521,2.504680137654276e-05,0.052564407351423675,0.028263169818099145,0.0005691810290953026,7.693338402388525e-07,0.008247188167547154,0.0,0.00011525865990463738,0.0,0.0002718409829172762
TEM_Medial,0.0,0.0,0.02477815694065373,0.00029011644183213965,0.6784257996962977,0.3563493223430151,28.455327662363146,12.101214757463271,0.586871369523823,1.600060448462763,0.21713477741234427,0.005214711605725353,0.007895483334775926,0.035014892872474356,0.15764480966878894,0.1661217094954082,0.0006020346342430418,0.05667493510483145,0.549219482379463,0.11966485149330831,0.00017006895160210245,0.0,0.9320423117580646,0.041277051746137765,5.275851373722486e-05,0.0017864748252998579,0.05675709047416474
TEM_Hippocampus,0.005685046427316929,0.00578987364167126,0.011126536584071004,0.2147175634172509,0.03561759612750685,0.009094286124277304,3.065847571503803,58.94777056416891,0.33929980960801065,0.2525951347058246,0.2731176272369704,0.0006077297919900185,0.0005164608159090877,0.01976323747617748,0.001107819422193477,0.029369953727067362,0.019210804255688448,0.4356906309966222,0.059340273526261034,0.7675608850836889,0.0005700832612008793,3.62524662922606e-05,0.9157929975663895,0.31841765521545,0.016110778923112207,0.0004354019449744806,0.3644645709764474
TEM_Amygdala,0.04609232098118103,0.17356401566164323,0.07430572713915261,0.15235838866628726,0.037576313726552235,0.03846402428145391,0.15039091462300122,0.30028841618408453,42.79771563390113,0.004781388965697093,0.0009855313754792627,0.01709186949878264,0.04796529780684419,0.15889909745064756,0.2239101023509338,0.3080605605490414,0.04088659639231962,0.0034467576534568624,1.3195563514921222,0.9977521501033149,0.20056369677113778,0.04882761821377896,0.11637870310462604,2.7717653654348045,0.11948135137774077,0.0,0.07363505411402639
OCC_Lateral,0.00021880764280225886,0.002013696782460065,0.01271997115178945,0.2444972894640947,0.7881667363252729,0.0063627280650869434,2.210614940728723,0.43992324449341513,0.017279764860282994,22.634402853003646,3.340542981245022,0.0,0.0,0.008455139811890184,4.956061380395391e-05,0.00015991558054075794,0.015242273441162945,0.2594674084470606,0.6238588604207197,0.0014339351226770622,0.00022636987722302293,6.0079543828390176e-05,1.4825999602079067,0.0025181545421421397,0.0032992256491209855,0.0,0.512301002576445
